Island,Date,Tree,Number,Weight_mg,Length_mm,Order,Family,Genus,Species
Quail,8/26/10,TA,246,14.09,14.9,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
Quail,8/26/10,TA,257,25.43,17.3,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
NF,8/27/10,PG,269,27.92,18.1,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
NF,8/27/10,PG,263,31.57,18.5,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
NF,8/27/10,PG,264,31.73,18.9,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
SF,9/13/10,PG,1338,36.62,21.1,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
NF,8/27/10,PS,259,61.11,23.5,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
NF,8/27/10,PS,270,68.01,28.9,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
NF,8/27/10,PG,268,82.31,27.5,Orthoptera,Tettigonidae,Conoccephalus,Conoccephalus saltator
Dudley,2012,,,0.913,2.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.592,2.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.618,2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.004,1.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,2.018,3.9,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.193,1.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,2.766,3,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.334,1.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.856,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,1.378,3.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.102,1.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,7.37,6.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.07,1.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,2.142,4.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.513,2.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,2.573,3.9,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.444,2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.176,1.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.137,1.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.269,1.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,4.483,4.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,2.298,3.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,7.953,5.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,1.811,3.9,Araneae,Araneidae,Neoscona,Neoscona theisi
Dudley,2012,,,0.888,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.94,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.44,2,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.206,2.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.765,2.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.146,1.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.703,1.8,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.886,2.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,1.028,3.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,,1.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Eastern,2012,,,0.576,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,2.028,3.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,0.583,2.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,1.748,3.9,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,1.662,2.9,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,0.817,2.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,0.513,2.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer ,2012,,,4.02,5,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer ,2012,,,0.558,2.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer ,2012,,,0.307,1.8,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,0.297,1.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Engineer,2012,,,1.195,3,Araneae,Araneidae,Neoscona,Neoscona theisi
Holei,2012,,,10.276,7,Araneae,Araneidae,Neoscona,Neoscona theisi
Holei,2012,,,0.671,2.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,0.222,1.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,,2.3,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,0.818,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,0.701,2.8,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,4.332,3.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,0.654,2.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,10.091,7.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,0.158,1.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,2.236,3.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Kaula,2012,,,9.12,5.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,0.778,2.3,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,3.856,3.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,0.502,2,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,0.617,2.3,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,0.536,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,0.381,2.2,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,,1,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,1.233,3.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,0.855,3.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Paradise,2012,,,1.184,3.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,3.795,4.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,3.518,3.7,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,0.659,,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,,,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,5.635,4,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,15.028,6,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,2.746,3.9,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,11.744,6.4,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,5.402,4.5,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,3.076,4.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,0.108,1.3,Araneae,Araneidae,Neoscona,Neoscona theisi
Sand,2012,,,0.5,2.6,Araneae,Araneidae,Neoscona,Neoscona theisi
Whippoorwill,2012,,,4.568,4.3,Araneae,Araneidae,Neoscona,Neoscona theisi
Whippoorwill,2012,,,0.116,1.1,Araneae,Araneidae,Neoscona,Neoscona theisi
Frigate,8/26/10,PS,215,0.32,1.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,160,0.35,2.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,8/26/10,TA,197,0.41,3.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Engineer,9/10/10,PG,765,0.42,2.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Kaula,8/31/10,PG,620,0.42,3.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,9/15/10,PG,1404,0.43,2.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,8/28/10,PG,354,0.51,3.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,139,0.58,3.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
